#{"t_start": 1769142870.3963459, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
120.0,1937,3094.193756
160.0,3775,3119.53869
135.0,2377,3135.215932
210.0,2529,3151.809996
105.0,1911,3164.527481
50.0,1847,3176.964845
180.0,2549,3193.808773
155.0,2393,3210.601869
125.0,2403,3226.352719
155.0,2535,3243.073979
105.0,1985,3256.421763
135.0,2339,3271.900316
110.0,1871,3284.51311
355.0,2525,3302.130347
560.0,4068,3329.517961
240.0,2913,3348.822318
210.0,2509,3366.175651
490.0,5669,3404.805521
210.0,2471,3421.984175
180.0,2395,3437.785688
105.0,1915,3450.854586
165.0,2745,3469.060939
155.0,2425,3486.367535
185.0,2409,3502.522971
165.0,2963,3522.416226
180.0,2579,3540.410076
210.0,2915,3560.079864
180.0,2625,3578.914675
410.0,3777,3605.264301
490.0,3389,3628.245851
660.0,5647,3667.70488
135.0,2409,3685.027713
655.0,4999,3719.107531
110.0,1905,3732.275652
110.0,1897,3745.18442
170.0,1915,3758.283111
180.0,2445,3775.671248
210.0,2445,3792.227066
105.0,1973,3805.76473
155.0,2411,3822.120579
135.0,2373,3838.582748
75.0,1225,3846.907732
75.0,1221,3855.570333
220.0,2713,3873.899539
180.0,2443,3890.481444
210.0,2395,3907.467316
200.0,2329,3923.307616
30.0,1101,3930.391086
180.0,2063,3945.20237
100.0,2105,3959.844344
140.0,2847,3979.262964
175.0,2045,3993.238509
85.0,1909,4006.347212
65.0,1139,4014.45609
220.0,2987,4034.924304
155.0,2435,4052.438959
460.0,4327,4082.480881
155.0,2035,4096.57534
175.0,1951,4110.084938
120.0,1979,4123.763024
85.0,1939,4137.290386
95.0,1867,4150.172318
10.0,1255,4159.232298
70.0,2071,4173.594553
60.0,2067,4187.960084
165.0,2073,4202.365318
70.0,1943,4215.837128
55.0,1145,4224.068268
180.0,2975,4244.508696
140.0,2007,4258.901101
55.0,2105,4274.259277
115.0,1973,4288.02631
60.0,1153,4295.751033
500.0,2679,4316.038798
625.0,3873,4344.62695
160.0,2047,4359.578765
205.0,2833,4381.230947
120.0,2591,4400.067369
190.0,2011,4414.956455
210.0,2471,4434.177942
355.0,2541,4452.981087
315.0,3343,4478.426858
155.0,2601,4498.62073
155.0,2473,4516.799554
470.0,4735,4552.959902
275.0,2821,4574.288239
125.0,1927,4589.009615
210.0,2533,4607.8551
185.0,2119,4623.393794
120.0,1187,4632.604018
210.0,2485,4650.806574
295.0,3325,4676.096558
50.0,1149,4685.01973
85.0,1151,4693.755218
145.0,2013,4708.727437
250.0,3453,4735.010891
140.0,1937,4749.427422
155.0,1981,4764.191732
680.0,5141,4803.580335
360.0,3695,4831.654491
190.0,3435,4857.873275
160.0,2001,4872.915506
260.0,2517,4892.566407
115.0,2023,4907.921005
215.0,2511,4926.904035
210.0,2123,4943.780191
215.0,2485,4962.433574
190.0,2639,4983.378115
100.0,1721,4996.614228
230.0,2009,5011.842447
180.0,1905,5026.406128
95.0,1571,5038.492348
215.0,1913,5053.110505
225.0,1975,5068.079889
70.0,1545,5080.00705
225.0,2509,5099.755834
